sc,seed,kind,oracle,net,cost,contacts,n_pil,n_fin,pilot_net,fin_net,slope
S0,0,agent,5422899.914487408,3891540.632937532,93468.0,11910,19,10,5676.61987832337,3788087.573068451,
S0,0,noexp,5422899.914487408,4690960.255323164,98580.0,4680,0,7,0.0,4690960.255323164,
S0,0,template,5422899.914487408,-1019431.0606441048,23832.0,5958,6,2,-141498.35610401942,-1047512.5302454929,
S0,0,confirm,5422899.914487408,4887123.974045424,96508.0,12257,19,10,677207.0871829712,4931999.863038862,
S0,0,slope,5422899.914487408,4567038.361311428,80668.0,11037,19,10,677207.0871829712,4567822.213172376,1.2745645108258974
S0,1,agent,5422899.914487408,4649284.765592365,88174.0,11033,19,10,-8648.198016769264,4643311.510878507,
S0,1,noexp,5422899.914487408,4690960.255323164,98580.0,4680,0,7,0.0,4690960.255323164,
S0,1,template,5422899.914487408,-576203.7790105487,49616.0,12404,6,4,-137665.45439001248,-572603.7790105487,
S0,1,confirm,5422899.914487408,4693004.078894695,94380.0,11782,19,10,689662.8591311532,4644633.274776728,
S0,1,slope,5422899.914487408,4813246.191634002,99636.0,11895,19,10,689662.8591311532,4764875.387516033,1.3313846792450212
S0,2,agent,5422899.914487408,3599243.1393413637,59660.0,14420,19,10,6813.104081155729,3613924.9526086748,
S0,2,noexp,5422899.914487408,4690960.255323164,98580.0,4680,0,7,0.0,4690960.255323164,
S0,2,template,5422899.914487408,-338970.97459386534,39144.0,9786,6,4,-138804.18572747934,-327527.2690370986,
S0,2,confirm,5422899.914487408,4316315.322138732,64304.0,12296,19,10,654411.545470061,4320460.5182892345,
S0,2,slope,5422899.914487408,4421213.211863318,71264.0,12296,19,10,654411.545470061,4425358.408013821,1.315130457967188
S0,3,agent,5422899.914487408,4593846.561218085,96886.0,10070,19,9,-5530.045453229997,4655997.495453242,
S0,3,noexp,5422899.914487408,4690960.255323164,98580.0,4680,0,7,0.0,4690960.255323164,
S0,3,template,5422899.914487408,-140280.93497766246,3600.0,900,6,0,-140280.93497766246,0.0,
S0,3,confirm,5422899.914487408,3864941.5727239177,99564.0,11068,19,10,669050.9697546102,3699056.044079379,
S0,3,slope,5422899.914487408,3864941.5727239177,99564.0,11068,19,10,669050.9697546102,3699056.044079379,0.9842884879286601
S0,4,agent,5422899.914487408,2698553.632572037,64196.0,14996,19,10,5199.263379766231,2670827.08445316,
S0,4,noexp,5422899.914487408,4690960.255323164,98580.0,4680,0,7,0.0,4690960.255323164,
S0,4,template,5422899.914487408,-1019236.6714434463,23832.0,5958,6,2,-136493.7807136342,-1047512.5302454929,
S0,4,confirm,5422899.914487408,4097048.140542174,92730.0,14840,19,10,663106.6182739281,4118871.5366831888,
S0,4,slope,5422899.914487408,4264155.456232695,99932.0,14983,19,10,663106.6182739281,4285978.85237371,1.2195281184634506
S0,5,agent,5422899.914487408,3444820.051116503,98096.0,14480,19,10,5751.325525353634,3475683.3912278446,
S0,5,noexp,5422899.914487408,4690960.255323164,98580.0,4680,0,7,0.0,4690960.255323164,
S0,5,template,5422899.914487408,-366963.8866435362,22280.0,5570,6,2,-138368.99507490936,-290627.79059913923,
S0,5,confirm,5422899.914487408,4545368.678010012,95734.0,14299,19,10,654245.8865925785,4538034.305448605,
S0,5,slope,5422899.914487408,4575363.139552996,97470.0,14283,19,10,654245.8865925785,4568019.652479963,1.0551990165626053
S0,6,agent,5422899.914487408,1214595.6207237637,65420.0,14942,19,10,8729.489811172043,1128356.3549211523,
S0,6,noexp,5422899.914487408,4690960.255323164,98580.0,4680,0,7,0.0,4690960.255323164,
S0,6,template,5422899.914487408,-320311.8401915287,37816.0,9454,6,3,-136859.1419700034,-253935.83040411395,
S0,6,confirm,5422899.914487408,3590223.3895137063,74516.0,14284,19,10,670420.0474515174,3431368.1373571814,
S0,6,slope,5422899.914487408,3661511.455351717,80762.0,9638,19,10,670420.0474515174,3492023.408444425,1.1380872366174897
S0,7,agent,5422899.914487408,3349092.7930510184,96216.0,13038,19,10,11183.714768073474,3323336.011593695,
S0,7,noexp,5422899.914487408,4690960.255323164,98580.0,4680,0,7,0.0,4690960.255323164,
S0,7,template,5422899.914487408,-348931.70612175035,30936.0,7734,6,2,-140057.71709183563,-281975.98841140943,
S0,7,confirm,5422899.914487408,4771307.744251508,99380.0,9699,19,9,666221.6662313892,4792840.768755347,
S0,7,slope,5422899.914487408,4591664.957960017,99380.0,8449,19,10,666221.6662313892,4568883.226130883,1.1237093426461422
S0,8,agent,5422899.914487408,4118278.443606548,85726.0,13183,19,10,4549.936279276837,4187758.0869964454,
S0,8,noexp,5422899.914487408,4690960.255323164,98580.0,4680,0,7,0.0,4690960.255323164,
S0,8,template,5422899.914487408,-76493.45195450934,18912.0,4728,6,2,-142963.67254887303,-427.32043066382903,
S0,8,confirm,5422899.914487408,3727613.75815325,73034.0,12953,19,10,664114.4595050297,3705872.8816495426,
S0,8,slope,5422899.914487408,3727613.75815325,73034.0,12953,19,10,664114.4595050297,3705872.8816495426,0.9663515183780979
S0,9,agent,5422899.914487408,3972591.5470670825,96412.0,14302,19,10,-32075.615716674518,3987986.934618955,
S0,9,noexp,5422899.914487408,4690960.255323164,98580.0,4680,0,7,0.0,4690960.255323164,
S0,9,template,5422899.914487408,-601537.532706727,42736.0,10684,6,3,-142714.1525076577,-600643.9370178442,
S0,9,confirm,5422899.914487408,2760603.109536932,72624.0,14934,19,10,653476.9569629508,2546992.434195078,
S0,9,slope,5422899.914487408,2766411.902364812,60512.0,12803,19,10,653476.9569629508,2558023.023857032,1.0598765341020842
S2,0,agent,10917278.524832455,9321679.952082647,88174.0,13741,19,10,26347.04507605839,9377806.822164474,
S2,0,noexp,10917278.524832455,9480500.510646328,98580.0,4680,0,7,0.0,9480500.510646328,
S2,0,template,10917278.524832455,-189133.37683586305,12032.0,3008,6,1,-279396.71220803884,-48502.956875918644,
S2,0,confirm,10917278.524832455,9923641.044471772,95932.0,12370,19,10,1369410.1743659424,9998396.822458649,
S2,0,slope,10917278.524832455,9834717.438253831,79546.0,12370,19,10,1369410.1743659424,9901783.34845446,2.435467411603316
S2,1,agent,10917278.524832455,8798499.605266932,90586.0,10663,19,10,-2355.97688430147,8792606.54976671,
S2,1,noexp,10917278.524832455,9480500.510646328,98580.0,4680,0,7,0.0,9480500.510646328,
S2,1,template,10917278.524832455,-1102791.5580210974,49616.0,12404,6,4,-271730.90878002497,-1099191.5580210974,
S2,1,confirm,10917278.524832455,10323896.078924563,99514.0,10649,19,10,1394321.7182623064,10365130.468275612,
S2,1,slope,10917278.524832455,10727298.079683408,81368.0,12121,19,10,1394321.7182623064,10768532.469034458,2.492182493715403
S2,2,agent,10917278.524832455,4008390.381558758,53360.0,11789,19,10,-45749.82664379741,4218000.040848781,
S2,2,noexp,10917278.524832455,9480500.510646328,98580.0,4680,0,7,0.0,9480500.510646328,
S2,2,template,10917278.524832455,-630365.9491877307,30712.0,7678,6,3,-274008.3714549587,-611078.5380741972,
S2,2,confirm,10917278.524832455,9422674.488893004,99090.0,10701,19,10,1323819.090940122,9469053.344493559,
S2,2,slope,10917278.524832455,10216018.809878584,97154.0,11612,19,10,1323819.090940122,10262397.665479138,2.475585563907225
S2,3,agent,10917278.524832455,9284579.12243617,96886.0,10070,19,9,3939.9090935400054,9393880.990906484,
S2,3,noexp,10917278.524832455,9480500.510646328,98580.0,4680,0,7,0.0,9480500.510646328,
S2,3,template,10917278.524832455,-276961.8699553249,3600.0,900,6,0,-276961.8699553249,0.0,
S2,3,confirm,10917278.524832455,10030989.622204036,99128.0,12745,19,10,1353097.9395092204,10011306.790805291,
S2,3,slope,10917278.524832455,10327833.026469301,99710.0,11612,19,10,1353097.9395092204,10372010.006327271,2.1451313693624012
S2,4,agent,10917278.524832455,3605667.9346039034,81572.0,14948,19,10,23871.92964680762,3691596.197104831,
S2,4,noexp,10917278.524832455,9480500.510646328,98580.0,4680,0,7,0.0,9480500.510646328,
S2,4,template,10917278.524832455,-2014641.3428868926,23832.0,5958,6,2,-269387.5614272684,-2074793.0604909859,
S2,4,confirm,10917278.524832455,8127851.4889250435,83070.0,14781,19,10,1341209.2365478561,8148014.672045192,
S2,4,slope,10917278.524832455,9027316.610526275,99990.0,13310,19,10,1341209.2365478561,9022798.247310594,2.3803207399973507
S2,5,agent,10917278.524832455,6099682.408700576,99782.0,14978,19,10,28037.9946834675,6298919.169582451,
S2,5,noexp,10917278.524832455,9480500.510646328,98580.0,4680,0,7,0.0,9480500.510646328,
S2,5,template,10917278.524832455,-711647.7732870724,22280.0,5570,6,2,-273137.9901498187,-562575.5811982785,
S2,5,confirm,10917278.524832455,9016784.827321418,90450.0,14282,19,10,1323487.773185157,8987101.853175351,
S2,5,slope,10917278.524832455,9577484.435970617,98226.0,13212,19,10,1323487.773185157,9602298.954927813,2.2159916380965052
S2,6,agent,10917278.524832455,2494611.2414475274,65420.0,14942,19,10,32458.979622344086,2307132.7098423047,
S2,6,noexp,10917278.524832455,9480500.510646328,98580.0,4680,0,7,0.0,9480500.510646328,
S2,6,template,10917278.524832455,-602807.6803830574,37816.0,9454,6,3,-270118.2839400068,-473655.6608082279,
S2,6,confirm,10917278.524832455,9637539.79143931,96828.0,12370,19,10,1355836.0949030349,9648590.60463086,
S2,6,slope,10917278.524832455,9996774.277277026,98544.0,12045,19,10,1355836.0949030349,9925206.07937948,2.298885051087871
S2,7,agent,10917278.524832455,7364202.389557004,54724.0,14669,19,10,37367.42953614695,7313977.333446092,
S2,7,noexp,10917278.524832455,9480500.510646328,98580.0,4680,0,7,0.0,9480500.510646328,
S2,7,template,10917278.524832455,-666927.4122435007,30936.0,7734,6,2,-276515.43418367126,-536615.9768228189,
S2,7,confirm,10917278.524832455,10304821.311815336,99636.0,10649,19,10,1347439.3324627783,10359480.214622797,
S2,7,slope,10917278.524832455,11053642.597137894,96574.0,12121,19,10,1347439.3324627783,11081712.646145573,2.28456873054469
S2,8,agent,10917278.524832455,8250110.4455400035,85726.0,13183,19,10,-63618.296519552976,8446242.17399289,
S2,8,noexp,10917278.524832455,9480500.510646328,98580.0,4680,0,7,0.0,9480500.510646328,
S2,8,template,10917278.524832455,-134074.90390901867,18912.0,4728,6,2,-282327.34509774606,14457.359138672342,
S2,8,confirm,10917278.524832455,7951740.188816914,86180.0,13055,19,10,1343224.9190100594,7893385.412864989,
S2,8,slope,10917278.524832455,8850531.893026348,99778.0,13600,19,10,1343224.9190100594,8792054.140018933,2.1271441399119984
S2,9,agent,10917278.524832455,4418474.629898203,82254.0,11721,19,10,-49151.231433349036,4437375.910450583,
S2,9,noexp,10917278.524832455,9480500.510646328,98580.0,4680,0,7,0.0,9480500.510646328,
S2,9,template,10917278.524832455,-1160339.065413454,42736.0,10684,6,3,-281828.3050153154,-1162151.8740356883,
S2,9,confirm,10917278.524832455,8393339.683263795,98468.0,14993,19,10,1321949.9139259015,8289540.096974352,
S2,9,slope,10917278.524832455,8272402.038595652,83372.0,14387,19,10,1321949.9139259015,8155194.850256763,2.220331640042122
S4,0,agent,3166221.1660549147,-171359.99476405937,97424.0,11861,19,10,-538919.4565516552,267510.66225005686,
S4,0,noexp,3166221.1660549147,629038.5454416091,98580.0,4680,0,7,0.0,629038.5454416091,
S4,0,template,3166221.1660549147,-183059.893921914,12032.0,3008,6,1,-233561.36874157243,-28467.478437959322,
S4,0,confirm,3166221.1660549147,653567.4032358115,98550.0,8029,19,10,-504001.42294537893,1253821.4198172425,
S4,0,slope,3166221.1660549147,51387.001283219404,83856.0,6879,19,2,-504001.42294537893,651641.0178646503,-0.01049764691308916
S4,1,agent,3166221.1660549147,19509.94358246158,98628.0,11421,19,10,-644863.3281168619,619268.1507166759,
S4,1,noexp,3166221.1660549147,629038.5454416091,98580.0,4680,0,7,0.0,629038.5454416091,
S4,1,template,3166221.1660549147,-653852.7814078906,49616.0,12404,6,4,-229184.8075985422,-650252.7814078906,
S4,1,confirm,3166221.1660549147,155025.25506835151,95988.0,8781,19,9,-505247.71056545846,539441.7630624338,
S4,1,slope,3166221.1660549147,-444178.9111889706,78314.0,7631,19,3,-505247.71056545846,-59762.40319488824,0.04638031086486736
S4,2,agent,3166221.1660549147,46678.97504557244,74908.0,14785,19,10,-525631.5758884927,485430.75783574104,
S4,2,noexp,3166221.1660549147,629038.5454416091,98580.0,4680,0,7,0.0,629038.5454416091,
S4,2,template,3166221.1660549147,-416619.97699120734,39144.0,9786,6,4,-229711.6949689546,-405176.2714344406,
S4,2,confirm,3166221.1660549147,-1060048.8151007458,76174.0,13168,19,10,-544489.0991024927,-737286.1315071702,
S4,2,slope,3166221.1660549147,-2069195.433942886,48248.0,13782,19,5,-544489.0991024927,-1814769.9296818303,0.03193002723611297
S4,3,agent,3166221.1660549147,38948.970153056376,96758.0,9700,19,9,-538663.1322877343,500301.39196962724,
S4,3,noexp,3166221.1660549147,629038.5454416091,98580.0,4680,0,7,0.0,629038.5454416091,
S4,3,template,3166221.1660549147,-234742.23883891187,3600.0,900,6,0,-234742.23883891187,0.0,
S4,4,agent,3166221.1660549147,-893741.5915024949,97086.0,14814,19,10,-522613.62576731376,-630911.6834302328,
S4,4,noexp,3166221.1660549147,629038.5454416091,98580.0,4680,0,7,0.0,629038.5454416091,
S4,4,template,3166221.1660549147,-2538038.149791986,23832.0,5958,6,2,-228746.96379442528,-2641829.643966989,
S4,5,agent,3166221.1660549147,249811.54475446604,97894.0,13038,19,9,-558114.1461544081,805123.5208901205,
S4,5,noexp,3166221.1660549147,629038.5454416091,98580.0,4680,0,7,0.0,629038.5454416091,
S4,5,template,3166221.1660549147,-453600.4633952916,22280.0,5570,6,2,-232325.37655140698,-368276.7929964813,
S4,6,agent,3166221.1660549147,-1050222.7783104307,83690.0,14996,19,10,-470258.3019231046,-847990.3927731824,
S4,6,noexp,3166221.1660549147,629038.5454416091,98580.0,4680,0,7,0.0,629038.5454416091,
S4,6,template,3166221.1660549147,-471656.81126355764,37816.0,9454,6,3,-226305.49623718613,-331584.832801456,
S4,7,agent,3166221.1660549147,32654.345205821563,99778.0,13006,19,9,-524222.08696877386,542303.3654853448,
S4,7,noexp,3166221.1660549147,629038.5454416091,98580.0,4680,0,7,0.0,629038.5454416091,
S4,7,template,3166221.1660549147,-436367.2215316013,30936.0,7734,6,2,-236624.13289129813,-281975.98841140943,
S4,8,agent,3166221.1660549147,324923.8685039546,97894.0,13038,19,9,-483379.07784998516,805123.5208901205,
